4.271E-5 -2.302E-4
8.416E-3 -2.292E-4
1.843E-2 -2.278E-4
2.850E-2 -2.263E-4
3.813E-2 -2.248E-4
4.802E-2 -2.232E-4
5.908E-2 -2.211E-4
6.879E-2 -2.194E-4
7.872E-2 -2.178E-4
8.866E-2 -2.157E-4
9.846E-2 -2.138E-4
1.092E-1 -2.114E-4
1.194E-1 -2.094E-4
1.290E-1 -2.071E-4
1.389E-1 -2.049E-4
1.490E-1 -2.024E-4
1.600E-1 -1.993E-4
1.696E-1 -1.970E-4
1.795E-1 -1.940E-4
1.898E-1 -1.910E-4
1.992E-1 -1.878E-4
2.091E-1 -1.846E-4
2.204E-1 -1.803E-4
2.302E-1 -1.767E-4
2.400E-1 -1.730E-4
2.500E-1 -1.681E-4
2.597E-1 -1.637E-4
2.706E-1 -1.581E-4
2.809E-1 -1.532E-4
2.904E-1 -1.476E-4
3.004E-1 -1.419E-4
3.103E-1 -1.360E-4
3.212E-1 -1.297E-4
3.309E-1 -1.230E-4
3.411E-1 -1.166E-4
3.508E-1 -1.098E-4
3.606E-1 -1.030E-4
3.716E-1 -9.458E-5
3.814E-1 -8.774E-5
3.915E-1 -8.089E-5
4.013E-1 -7.234E-5
4.207E-1 -5.750E-5
4.418E-1 -4.105E-5
4.619E-1 -2.626E-5
4.825E-1 -1.092E-5
5.023E-1 2.012E-6
5.528E-1 3.265E-5
6.032E-1 5.730E-5
6.537E-1 7.903E-5
7.043E-1 1.000E-4
7.547E-1 1.194E-4
8.050E-1 1.378E-4
8.553E-1 1.548E-4
9.058E-1 1.708E-4
9.566E-1 1.858E-4
1.005E+0 1.994E-4
