fname time Tem kT_1 Nfe tau_r Wph Em rmsre 
L0402S01 1384405604 0 555 6.422140629E+18 6.303672843E-07 3.900000000E-04 6.664544511E-01 1.313494446E-03 
L0402S03 1384405639 0 555 1.606739839E+19 9.371480335E-07 3.900000000E-04 6.683639224E-01 1.251926061E-03 
L0402S05 1384405661 0 555 2.268267064E+19 1.317158054E-06 3.900000000E-04 6.688167454E-01 1.374169291E-03 
L0402S10 1384405681 0 555 2.971760287E+19 3.481274012E-06 3.900000000E-04 6.715215281E-01 1.899382001E-03 
L0402S15 1384405700 0 555 3.206494635E+19 4.124727503E-06 3.900000000E-04 6.720893445E-01 2.128366050E-03 
L0402S20 1384405715 0 555 3.368216697E+19 9.369510692E-06 3.900000000E-04 6.727826186E-01 2.188460227E-03 
L0402S25 1384405732 0 555 3.368554631E+19 3.798755091E-04 3.900000000E-04 6.730210430E-01 2.481525949E-03 
L0402S30 1384405749 0 555 3.408939564E+19 9.999999869E+01 3.900000000E-04 6.741083122E-01 2.315279390E-03 
L0420S01U 1385470662 0 555 5.746984392E+18 6.625827251E-07 3.900000000E-04 6.612657881E-01 1.117512226E-03 
L0420S05U 1385470713 0 555 2.094527682E+19 1.547713051E-06 3.900000000E-04 6.638162106E-01 1.249224051E-03 
L0420S10U 1385471280 0 555 2.609762878E+19 2.561027533E-06 3.900000000E-04 6.657355446E-01 1.648668119E-03 
L0420S20U 1385470800 0 555 3.017962908E+19 7.691314684E-06 3.900000000E-04 6.674049959E-01 2.279551142E-03 
