Voc delN
1.5000E-1 1.1112E+13
1.5500E-1 1.3531E+13
1.6000E-1 1.6476E+13
1.6500E-1 2.0061E+13
1.7000E-1 2.4423E+13
1.7500E-1 2.9734E+13
1.8000E-1 3.6197E+13
1.8500E-1 4.4064E+13
1.9000E-1 5.3639E+13
1.9500E-1 6.5293E+13
2.0000E-1 7.9478E+13
2.0500E-1 9.6744E+13
2.1000E-1 1.1776E+14
2.1500E-1 1.4334E+14
2.2000E-1 1.7447E+14
2.2500E-1 2.1236E+14
2.3000E-1 2.5848E+14
2.3500E-1 3.1462E+14
2.4000E-1 3.8294E+14
2.4500E-1 4.6611E+14
2.5000E-1 5.6733E+14
2.5500E-1 6.9053E+14
2.6000E-1 8.4048E+14
2.6500E-1 1.0230E+15
2.7000E-1 1.2452E+15
2.7500E-1 1.5155E+15
2.8000E-1 1.8446E+15
2.8500E-1 2.2452E+15
2.9000E-1 2.7328E+15
2.9500E-1 3.3262E+15
3.0000E-1 4.0485E+15
3.0500E-1 4.9276E+15
3.1000E-1 5.9976E+15
3.1500E-1 7.3000E+15
3.2000E-1 8.8852E+15
3.2500E-1 1.0815E+16
3.3000E-1 1.3163E+16
3.3500E-1 1.6021E+16
3.4000E-1 1.9500E+16
3.4500E-1 2.3735E+16
3.5000E-1 2.8889E+16
3.5500E-1 3.5162E+16
3.6000E-1 4.2797E+16
3.6500E-1 5.2090E+16
3.7000E-1 6.3401E+16
3.7500E-1 7.7167E+16
3.8000E-1 9.3923E+16
3.8500E-1 1.1432E+17
3.9000E-1 1.3914E+17
3.9500E-1 1.6935E+17
4.0000E-1 2.0612E+17
4.0500E-1 2.5087E+17
4.1000E-1 3.0533E+17
4.1500E-1 3.7161E+17
4.2000E-1 4.5228E+17
4.2500E-1 5.5046E+17
4.3000E-1 6.6993E+17
4.3500E-1 8.1532E+17
4.4000E-1 9.9223E+17
4.4500E-1 1.2075E+18
4.5000E-1 1.4694E+18
4.5500E-1 1.7881E+18
4.6000E-1 2.1758E+18
4.6500E-1 2.6473E+18
4.7000E-1 3.2208E+18
4.7500E-1 3.9182E+18
4.8000E-1 4.7661E+18
4.8500E-1 5.7967E+18
4.9000E-1 7.0490E+18
4.9500E-1 8.5701E+18
