Voc delN
1.5000E-1 3.7226E+14
1.5500E-1 4.4651E+14
1.6000E-1 5.3552E+14
1.6500E-1 6.4220E+14
1.7000E-1 7.7007E+14
1.7500E-1 9.2333E+14
1.8000E-1 1.1070E+15
1.8500E-1 1.3272E+15
1.9000E-1 1.5911E+15
1.9500E-1 1.9075E+15
2.0000E-1 2.2866E+15
2.0500E-1 2.7411E+15
2.1000E-1 3.2858E+15
2.1500E-1 3.9387E+15
2.2000E-1 4.7213E+15
2.2500E-1 5.6593E+15
2.3000E-1 6.7836E+15
2.3500E-1 8.1311E+15
2.4000E-1 9.7464E+15
2.4500E-1 1.1682E+16
2.5000E-1 1.4003E+16
2.5500E-1 1.6784E+16
2.6000E-1 2.0118E+16
2.6500E-1 2.4114E+16
2.7000E-1 2.8903E+16
2.7500E-1 3.4644E+16
2.8000E-1 4.1524E+16
2.8500E-1 4.9771E+16
2.9000E-1 5.9656E+16
2.9500E-1 7.1504E+16
3.0000E-1 8.5704E+16
3.0500E-1 1.0272E+17
3.1000E-1 1.2312E+17
3.1500E-1 1.4758E+17
3.2000E-1 1.7688E+17
3.2500E-1 2.1201E+17
3.3000E-1 2.5410E+17
3.3500E-1 3.0456E+17
3.4000E-1 3.6503E+17
3.4500E-1 4.3751E+17
3.5000E-1 5.2436E+17
3.5500E-1 6.2846E+17
3.6000E-1 7.5321E+17
3.6500E-1 9.0270E+17
3.7000E-1 1.0818E+18
3.7500E-1 1.2965E+18
3.8000E-1 1.5537E+18
3.8500E-1 1.8618E+18
3.9000E-1 2.2310E+18
3.9500E-1 2.6732E+18
4.0000E-1 3.2029E+18
4.0500E-1 3.8372E+18
4.1000E-1 4.5968E+18
4.1500E-1 5.5061E+18
4.2000E-1 6.5944E+18
4.2500E-1 7.8965E+18
4.3000E-1 9.4541E+18
4.3500E-1 1.1316E+19
4.4000E-1 1.3542E+19
4.4500E-1 1.6200E+19
4.5000E-1 1.9373E+19
4.5500E-1 2.3157E+19
4.6000E-1 2.7666E+19
4.6500E-1 3.3032E+19
4.7000E-1 3.9412E+19
4.7500E-1 4.6986E+19
4.8000E-1 5.5960E+19
4.8500E-1 6.6575E+19
4.9000E-1 7.9103E+19
4.9500E-1 9.3851E+19
