Voc delN
1.5000E-1 9.7460E+13
1.5500E-1 1.1757E+14
1.6000E-1 1.4182E+14
1.6500E-1 1.7106E+14
1.7000E-1 2.0631E+14
1.7500E-1 2.4881E+14
1.8000E-1 3.0004E+14
1.8500E-1 3.6182E+14
1.9000E-1 4.3629E+14
1.9500E-1 5.2608E+14
2.0000E-1 6.3433E+14
2.0500E-1 7.6484E+14
2.1000E-1 9.2219E+14
2.1500E-1 1.1119E+15
2.2000E-1 1.3406E+15
2.2500E-1 1.6164E+15
2.3000E-1 1.9488E+15
2.3500E-1 2.3496E+15
2.4000E-1 2.8328E+15
2.4500E-1 3.4154E+15
2.5000E-1 4.1178E+15
2.5500E-1 4.9646E+15
2.6000E-1 5.9856E+15
2.6500E-1 7.2165E+15
2.7000E-1 8.7005E+15
2.7500E-1 1.0490E+16
2.8000E-1 1.2647E+16
2.8500E-1 1.5247E+16
2.9000E-1 1.8383E+16
2.9500E-1 2.2163E+16
3.0000E-1 2.6720E+16
3.0500E-1 3.2214E+16
3.1000E-1 3.8839E+16
3.1500E-1 4.6825E+16
3.2000E-1 5.6453E+16
3.2500E-1 6.8061E+16
3.3000E-1 8.2056E+16
3.3500E-1 9.8928E+16
3.4000E-1 1.1927E+17
3.4500E-1 1.4379E+17
3.5000E-1 1.7336E+17
3.5500E-1 2.0900E+17
3.6000E-1 2.5197E+17
3.6500E-1 3.0377E+17
3.7000E-1 3.6622E+17
3.7500E-1 4.4150E+17
3.8000E-1 5.3225E+17
3.8500E-1 6.4164E+17
3.9000E-1 7.7351E+17
3.9500E-1 9.3246E+17
4.0000E-1 1.1240E+18
4.0500E-1 1.3550E+18
4.1000E-1 1.6332E+18
4.1500E-1 1.9686E+18
4.2000E-1 2.3727E+18
4.2500E-1 2.8596E+18
4.3000E-1 3.4461E+18
4.3500E-1 4.1526E+18
4.4000E-1 5.0034E+18
4.4500E-1 6.0277E+18
4.5000E-1 7.2606E+18
4.5500E-1 8.7442E+18
4.6000E-1 1.0528E+19
4.6500E-1 1.2674E+19
4.7000E-1 1.5251E+19
4.7500E-1 1.8346E+19
4.8000E-1 2.2059E+19
4.8500E-1 2.6510E+19
4.9000E-1 3.1838E+19
4.9500E-1 3.8211E+19
