Voc delN
1.5000E-1 7.6845E+15
1.5500E-1 9.0997E+15
1.6000E-1 1.0774E+16
1.6500E-1 1.2754E+16
1.7000E-1 1.5097E+16
1.7500E-1 1.7869E+16
1.8000E-1 2.1147E+16
1.8500E-1 2.5026E+16
1.9000E-1 2.9614E+16
1.9500E-1 3.5042E+16
2.0000E-1 4.1462E+16
2.0500E-1 4.9058E+16
2.1000E-1 5.8043E+16
2.1500E-1 6.8672E+16
2.2000E-1 8.1245E+16
2.2500E-1 9.6119E+16
2.3000E-1 1.1371E+17
2.3500E-1 1.3453E+17
2.4000E-1 1.5915E+17
2.4500E-1 1.8827E+17
2.5000E-1 2.2273E+17
2.5500E-1 2.6348E+17
2.6000E-1 3.1169E+17
2.6500E-1 3.6872E+17
2.7000E-1 4.3617E+17
2.7500E-1 5.1596E+17
2.8000E-1 6.1033E+17
2.8500E-1 7.2195E+17
2.9000E-1 8.5398E+17
2.9500E-1 1.0101E+18
3.0000E-1 1.1948E+18
3.0500E-1 1.4132E+18
3.1000E-1 1.6715E+18
3.1500E-1 1.9769E+18
3.2000E-1 2.3380E+18
3.2500E-1 2.7649E+18
3.3000E-1 3.2696E+18
3.3500E-1 3.8662E+18
3.4000E-1 4.5713E+18
3.4500E-1 5.4044E+18
3.5000E-1 6.3887E+18
3.5500E-1 7.5512E+18
3.6000E-1 8.9240E+18
3.6500E-1 1.0544E+19
3.7000E-1 1.2456E+19
3.7500E-1 1.4711E+19
3.8000E-1 1.7370E+19
3.8500E-1 2.0501E+19
3.9000E-1 2.4188E+19
3.9500E-1 2.8524E+19
4.0000E-1 3.3620E+19
4.0500E-1 3.9602E+19
4.1000E-1 4.6614E+19
4.1500E-1 5.4823E+19
4.2000E-1 6.4418E+19
4.2500E-1 7.5611E+19
4.3000E-1 8.8641E+19
4.3500E-1 1.0378E+20
4.4000E-1 1.2131E+20
4.4500E-1 1.4157E+20
4.5000E-1 1.6491E+20
4.5500E-1 1.9172E+20
4.6000E-1 2.2240E+20
4.6500E-1 2.5740E+20
4.7000E-1 2.9718E+20
4.7500E-1 3.4225E+20
4.8000E-1 3.9313E+20
4.8500E-1 4.5036E+20
4.9000E-1 5.1453E+20
4.9500E-1 5.8624E+20
