X Y Yfit
7.895E-6 -2.328E-4 6.313E-3 -2.328E-4
8.693E-3 -2.321E-4 1.073E-2 -2.321E-4
1.865E-2 -2.308E-4 1.883E-2 -2.308E-4
2.820E-2 -2.293E-4 2.801E-2 -2.293E-4
3.849E-2 -2.278E-4 3.698E-2 -2.278E-4
4.818E-2 -2.263E-4 4.575E-2 -2.263E-4
5.912E-2 -2.245E-4 5.598E-2 -2.245E-4
6.913E-2 -2.228E-4 6.536E-2 -2.228E-4
7.893E-2 -2.211E-4 7.444E-2 -2.211E-4
8.862E-2 -2.191E-4 8.473E-2 -2.191E-4
9.840E-2 -2.172E-4 9.414E-2 -2.172E-4
1.094E-1 -2.147E-4 1.059E-1 -2.147E-4
1.195E-1 -2.125E-4 1.158E-1 -2.125E-4
1.291E-1 -2.098E-4 1.273E-1 -2.098E-4
1.393E-1 -2.074E-4 1.369E-1 -2.074E-4
1.490E-1 -2.046E-4 1.475E-1 -2.046E-4
1.601E-1 -2.014E-4 1.588E-1 -2.014E-4
1.698E-1 -1.982E-4 1.693E-1 -1.982E-4
1.796E-1 -1.951E-4 1.789E-1 -1.951E-4
1.898E-1 -1.914E-4 1.895E-1 -1.914E-4
1.992E-1 -1.871E-4 2.009E-1 -1.871E-4
2.091E-1 -1.832E-4 2.105E-1 -1.832E-4
2.201E-1 -1.782E-4 2.219E-1 -1.782E-4
2.305E-1 -1.731E-4 2.326E-1 -1.731E-4
2.400E-1 -1.683E-4 2.420E-1 -1.683E-4
2.501E-1 -1.629E-4 2.518E-1 -1.629E-4
2.597E-1 -1.568E-4 2.620E-1 -1.568E-4
2.707E-1 -1.497E-4 2.731E-1 -1.497E-4
2.805E-1 -1.437E-4 2.818E-1 -1.437E-4
2.905E-1 -1.364E-4 2.918E-1 -1.364E-4
3.005E-1 -1.295E-4 3.006E-1 -1.295E-4
3.103E-1 -1.211E-4 3.107E-1 -1.211E-4
3.214E-1 -1.115E-4 3.215E-1 -1.115E-4
3.313E-1 -1.034E-4 3.301E-1 -1.034E-4
3.411E-1 -9.397E-5 3.396E-1 -9.397E-5
3.510E-1 -8.482E-5 3.484E-1 -8.482E-5
3.605E-1 -7.430E-5 3.580E-1 -7.430E-5
3.715E-1 -6.283E-5 3.680E-1 -6.283E-5
3.816E-1 -5.252E-5 3.766E-1 -5.252E-5
3.915E-1 -4.105E-5 3.858E-1 -4.105E-5
4.011E-1 -2.923E-5 3.950E-1 -2.923E-5
4.210E-1 -3.069E-6 4.142E-1 -3.069E-6
4.420E-1 2.626E-5 4.343E-1 2.626E-5
4.617E-1 5.549E-5 4.533E-1 5.549E-5
4.829E-1 9.010E-5 4.747E-1 9.010E-5
5.025E-1 1.246E-4 4.952E-1 1.246E-4
5.528E-1 2.191E-4 5.484E-1 2.191E-4
6.031E-1 3.241E-4 6.044E-1 3.241E-4
6.541E-1 4.305E-4 6.596E-1 4.305E-4
7.044E-1 5.336E-4 7.125E-1 5.336E-4
7.548E-1 6.327E-4 7.631E-1 6.327E-4
8.054E-1 7.299E-4 8.129E-1 7.299E-4
8.554E-1 8.227E-4 8.606E-1 8.227E-4
9.062E-1 9.103E-4 9.058E-1 9.103E-4
9.564E-1 9.963E-4 9.505E-1 9.963E-4
1.006E+0 1.077E-3 9.926E-1 1.077E-3
