1.000000E+10 1.017819021E+00
1.468000E+10 1.017780748E+00
2.154000E+10 1.017725223E+00
3.162000E+10 1.017645102E+00
4.642000E+10 1.017530410E+00
6.813000E+10 1.017368131E+00
1.000000E+11 1.017142405E+00
1.468000E+11 1.016836160E+00
2.154000E+11 1.016435582E+00
3.162000E+11 1.015939040E+00
4.642000E+11 1.014824609E+00
6.813000E+11 1.012144200E+00
1.000000E+12 1.011875603E+00
1.468000E+12 1.011849294E+00
2.154000E+12 1.012141502E+00
3.162000E+12 1.012864406E+00
4.642000E+12 1.014043156E+00
6.813000E+12 1.015716516E+00
1.000000E+13 1.017873104E+00
