1.860E-5 -2.479E-4
8.679E-3 -2.463E-4
1.865E-2 -2.449E-4
2.843E-2 -2.431E-4
3.815E-2 -2.414E-4
4.840E-2 -2.394E-4
5.905E-2 -2.370E-4
6.907E-2 -2.350E-4
7.888E-2 -2.330E-4
8.868E-2 -2.307E-4
9.861E-2 -2.282E-4
1.095E-1 -2.255E-4
1.194E-1 -2.228E-4
1.292E-1 -2.203E-4
1.392E-1 -2.174E-4
1.491E-1 -2.144E-4
1.604E-1 -2.108E-4
1.699E-1 -2.075E-4
1.798E-1 -2.038E-4
1.897E-1 -2.002E-4
1.995E-1 -1.962E-4
2.094E-1 -1.918E-4
2.204E-1 -1.867E-4
2.302E-1 -1.820E-4
2.401E-1 -1.770E-4
2.498E-1 -1.718E-4
2.596E-1 -1.667E-4
2.708E-1 -1.599E-4
2.806E-1 -1.540E-4
2.905E-1 -1.477E-4
3.005E-1 -1.415E-4
3.105E-1 -1.347E-4
3.216E-1 -1.268E-4
3.310E-1 -1.197E-4
3.408E-1 -1.127E-4
3.510E-1 -1.052E-4
3.606E-1 -9.734E-5
3.718E-1 -8.899E-5
3.817E-1 -8.084E-5
3.915E-1 -7.279E-5
4.015E-1 -6.525E-5
4.212E-1 -4.935E-5
4.418E-1 -3.265E-5
4.617E-1 -1.660E-5
4.827E-1 -1.509E-6
5.023E-1 1.132E-5
5.530E-1 4.155E-5
6.034E-1 6.656E-5
6.539E-1 8.919E-5
7.046E-1 1.104E-4
7.547E-1 1.306E-4
8.054E-1 1.496E-4
8.560E-1 1.670E-4
9.063E-1 1.832E-4
9.567E-1 1.987E-4
1.006E+0 2.130E-4
