N x
1.4689904E+0 1.1740009E+21
1.4548504E+0 1.2536102E+21
1.4423930E+0 1.3817643E+21
1.4305022E+0 1.4654439E+21
1.4192449E+0 1.5418918E+21
1.4083249E+0 1.5615461E+21
1.3971725E+0 1.5631068E+21
1.3861011E+0 1.5903496E+21
1.3751552E+0 1.6006806E+21
1.3640495E+0 1.6001128E+21
1.3529173E+0 1.5973002E+21
1.3415877E+0 1.5946762E+21
1.3302300E+0 1.5846211E+21
1.3185590E+0 1.5810336E+21
1.3069480E+0 1.6001059E+21
1.2953498E+0 1.5812506E+21
1.2832470E+0 1.5644430E+21
1.2711732E+0 1.5802951E+21
1.2590852E+0 1.5566949E+21
1.2464039E+0 1.5374646E+21
1.2337572E+0 1.5455627E+21
1.2209483E+0 1.5225905E+21
1.2076429E+0 1.5186292E+21
1.1944844E+0 1.5018312E+21
1.1805781E+0 1.4782879E+21
1.1666734E+0 1.4903031E+21
1.1526612E+0 1.4691523E+21
1.1380037E+0 1.4413494E+21
1.1230668E+0 1.4487928E+21
1.1081739E+0 1.4408837E+21
1.0926610E+0 1.4097563E+21
1.0766574E+0 1.3915281E+21
1.0602584E+0 1.3977718E+21
1.0439073E+0 1.3802383E+21
1.0265559E+0 1.3644747E+21
1.0092566E+0 1.3557790E+21
9.9106870E-1 1.3332669E+21
9.7251748E-1 1.3278588E+21
9.5347362E-1 1.3136019E+21
9.3375135E-1 1.3091500E+21
9.1376253E-1 1.3143033E+21
