Bo Fe nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
1.500000000E+01 1.000000000E+01 1.017830696E+00 1.079060527E+00 -6.122983100E-02 1.016637480E+00 1.078831260E+00 -6.219378000E-02 1.193216000E-03 2.292670000E-04
1.500000000E+01 1.016672606E+01 1.017787993E+00 1.079406029E+00 -6.161803600E-02 1.016957031E+00 1.079265147E+00 -6.230811600E-02 8.309620000E-04 1.408820000E-04
1.500000000E+01 1.033324570E+01 1.017726350E+00 1.079910082E+00 -6.218373200E-02 1.017151996E+00 1.079820746E+00 -6.266875000E-02 5.743540000E-04 8.933600000E-05
1.500000000E+01 1.049996187E+01 1.017638057E+00 1.080643388E+00 -6.300533100E-02 1.017243298E+00 1.080584675E+00 -6.334137700E-02 3.947590000E-04 5.871300000E-05
1.500000000E+01 1.066670514E+01 1.017513043E+00 1.081705826E+00 -6.419278300E-02 1.017242903E+00 1.081665701E+00 -6.442279800E-02 2.701400000E-04 4.012500000E-05
1.500000000E+01 1.083333839E+01 1.017339023E+00 1.083235875E+00 -6.589685200E-02 1.017154814E+00 1.083207241E+00 -6.605242700E-02 1.842090000E-04 2.863400000E-05
1.500000000E+01 1.100000000E+01 1.017102825E+00 1.085420077E+00 -6.831725200E-02 1.016977585E+00 1.085398649E+00 -6.842106400E-02 1.252400000E-04 2.142800000E-05
1.500000000E+01 1.116672606E+01 1.016794121E+00 1.088498689E+00 -7.170456800E-02 1.016709169E+00 1.088481798E+00 -7.177262900E-02 8.495200000E-05 1.689100000E-05
1.500000000E+01 1.133324570E+01 1.016413239E+00 1.092759035E+00 -7.634579600E-02 1.016355674E+00 1.092744926E+00 -7.638925200E-02 5.756500000E-05 1.410900000E-05
1.500000000E+01 1.149996187E+01 1.015984319E+00 1.098502196E+00 -8.251787700E-02 1.015945243E+00 1.098489701E+00 -8.254445800E-02 3.907600000E-05 1.249500000E-05
1.500000000E+01 1.166670514E+01 1.015572306E+00 1.105963828E+00 -9.039152200E-02 1.015545580E+00 1.105952157E+00 -9.040657700E-02 2.672600000E-05 1.167100000E-05
1.500000000E+01 1.183333839E+01 1.015295842E+00 1.115178419E+00 -9.988257700E-02 1.015277237E+00 1.115167045E+00 -9.988980800E-02 1.860500000E-05 1.137400000E-05
1.500000000E+01 1.200000000E+01 1.015321466E+00 1.125816245E+00 -1.104947790E-01 1.015308088E+00 1.125804887E+00 -1.104967990E-01 1.337800000E-05 1.135800000E-05
1.500000000E+01 1.216672606E+01 1.015828019E+00 1.137100941E+00 -1.212729220E-01 1.015817927E+00 1.137089564E+00 -1.212716370E-01 1.009200000E-05 1.137700000E-05
1.500000000E+01 1.233324570E+01 1.016953634E+00 1.147951525E+00 -1.309978910E-01 1.016945571E+00 1.147940342E+00 -1.309947710E-01 8.063000000E-06 1.118300000E-05
1.500000000E+01 1.249996187E+01 1.018761871E+00 1.157393134E+00 -1.386312630E-01 1.018755063E+00 1.157382459E+00 -1.386273960E-01 6.808000000E-06 1.067500000E-05
1.500000000E+01 1.266670514E+01 1.035518714E+00 1.164968727E+00 -1.294500130E-01 1.035519049E+00 1.164958861E+00 -1.294398120E-01 -3.350000000E-07 9.866000000E-06
1.500000000E+01 1.283333839E+01 1.056576175E+00 1.170813429E+00 -1.142372540E-01 1.056574379E+00 1.170804561E+00 -1.142301820E-01 1.796000000E-06 8.868000000E-06
1.500000000E+01 1.300000000E+01 1.074030374E+00 1.175374386E+00 -1.013440120E-01 1.074027680E+00 1.175366544E+00 -1.013388640E-01 2.694000000E-06 7.842000000E-06
1.549996187E+01 1.000000000E+01 1.125426053E+00 1.206181199E+00 -8.075514600E-02 1.123482592E+00 1.199904046E+00 -7.642145400E-02 1.943461000E-03 6.277153000E-03
1.549996187E+01 1.016672606E+01 1.126298563E+00 1.206233623E+00 -7.993506000E-02 1.124988228E+00 1.201871181E+00 -7.688295300E-02 1.310335000E-03 4.362442000E-03
