V d44s d44b V1 d52a d52b d54a d54b d54c d74a d74b
-1.200000e+00 1.875955e+00 1.728500e+00 -1.200000e+00 5.694823e-01 3.172302e-01 4.327160e-01 7.979012e-01 9.596757e-01 3.487611e-01 5.186752e-01
-1.100000e+00 1.843287e+00 1.795044e+00 -1.000000e+00 5.965128e-01 6.729861e-01 3.297375e-01 4.371484e-01 9.659357e-01 3.503705e-01 5.271799e-01
-1.000000e+00 1.834778e+00 1.837220e+00 -8.000000e-01 6.293260e-01 5.891110e-01 3.261655e-01 4.255935e-01 9.878233e-01 3.647853e-01 5.246335e-01
-9.000000e-01 1.827099e+00 1.785784e+00 -6.000000e-01 6.960148e-01 5.297546e-01 4.004134e-01 3.782508e-01 9.864877e-01 3.850224e-01 5.588578e-01
-8.000000e-01 1.845377e+00 1.439480e+00 -4.000000e-01 6.965865e-01 5.336424e-01 6.679252e-01 2.322071e-01 9.825684e-01 3.533685e-01 5.102579e-01
-7.000000e-01 1.857379e+00 1.576325e+00 -2.000000e-01 7.101684e-01 5.219782e-01 7.595912e-01 2.030094e-02 9.915751e-01 3.987340e-01 5.598082e-01
-6.000000e-01 1.842440e+00 1.421463e+00 0.000000e+00 6.705188e-01 6.491140e-01 7.258391e-01 2.838745e-01 9.254822e-01 3.709048e-01 5.138519e-01
-5.000000e-01 1.915767e+00 1.568666e+00 2.000000e-01 3.497706e-01 2.953505e-01 2.502651e-01 8.294242e-01 6.650490e-01 3.547613e-01 5.195304e-01
-4.000000e-01 1.918579e+00 1.376420e+00 4.000000e-01 5.125094e-01 3.361908e-01 6.917812e-01 1.297890e+00 6.712556e-01 2.588483e-01 1.921435e-01
-3.000000e-01 1.916228e+00 1.212450e+00 NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 1.907861e+00 1.179590e+00 NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 1.474069e+00 1.231660e+00 NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 3.502666e-01 1.056549e+00 NaN NaN NaN NaN NaN NaN NaN NaN
1.000000e-01 4.568792e-01 6.641962e-01 NaN NaN NaN NaN NaN NaN NaN NaN
2.000000e-01 4.692957e-01 3.100000e-08 NaN NaN NaN NaN NaN NaN NaN NaN
3.000000e-01 8.656591e-01 3.100000e-08 NaN NaN NaN NaN NaN NaN NaN NaN
