1.000000E+10 1.141800017E+00
1.468000E+10 1.141806427E+00
2.154000E+10 1.141816305E+00
3.162000E+10 1.141830077E+00
4.642000E+10 1.141850344E+00
6.813000E+10 1.141879880E+00
1.000000E+11 1.141922671E+00
1.468000E+11 1.141984561E+00
2.154000E+11 1.142073373E+00
3.162000E+11 1.142199086E+00
4.642000E+11 1.142374551E+00
6.813000E+11 1.142614723E+00
1.000000E+12 1.142934146E+00
1.468000E+12 1.143343914E+00
2.154000E+12 1.143845591E+00
3.162000E+12 1.144439835E+00
4.642000E+12 1.144884796E+00
6.813000E+12 1.145253245E+00
1.000000E+13 1.145702444E+00
