-7.500E-4 1.960E-8
1.079E-2 2.924E-5
1.976E-2 4.883E-5
2.977E-2 6.646E-5
3.994E-2 8.911E-5
4.975E-2 1.110E-4
6.019E-2 1.345E-4
6.930E-2 1.558E-4
7.933E-2 1.794E-4
9.085E-2 2.123E-4
9.945E-2 2.341E-4
1.094E-1 2.547E-4
1.193E-1 2.811E-4
1.290E-1 3.140E-4
1.391E-1 3.428E-4
1.493E-1 3.674E-4
1.595E-1 4.012E-4
1.706E-1 4.392E-4
1.804E-1 4.824E-4
1.903E-1 5.127E-4
1.993E-1 5.575E-4
2.092E-1 5.933E-4
2.193E-1 6.460E-4
2.293E-1 7.007E-4
2.399E-1 7.789E-4
2.494E-1 8.455E-4
2.608E-1 9.413E-4
2.694E-1 1.001E-3
2.802E-1 1.115E-3
2.908E-1 1.282E-3
2.994E-1 1.383E-3
3.099E-1 1.616E-3
3.204E-1 1.807E-3
3.303E-1 2.141E-3
3.392E-1 2.389E-3
3.506E-1 2.957E-3
3.603E-1 3.386E-3
3.705E-1 4.016E-3
3.801E-1 4.771E-3
3.901E-1 5.734E-3
4.010E-1 6.905E-3
4.106E-1 8.212E-3
4.205E-1 1.000E-2
4.308E-1 1.182E-2
4.404E-1 1.334E-2
4.501E-1 1.546E-2
4.600E-1 1.780E-2
4.710E-1 2.120E-2
