V d44s d44b V1 d52a d52b d54a d54b d54c d74a d74b
-1.200000e+00 4.943653e-05 3.950148e-06 -1.200000e+00 4.545704e-06 1.598998e-06 1.814615e-06 9.238607e-07 5.099077e-05 1.026028e-05 6.175702e-06
-1.100000e+00 4.416596e-05 4.487197e-06 -1.000000e+00 5.662971e-06 2.611195e-06 2.153166e-06 1.044980e-06 6.410853e-05 1.463332e-05 9.091888e-06
-1.000000e+00 5.239824e-05 4.990819e-06 -8.000000e-01 7.116350e-06 2.250892e-06 2.900227e-06 1.050343e-06 8.025589e-05 2.242662e-05 1.487586e-05
-9.000000e-01 5.850965e-05 5.604494e-06 -6.000000e-01 8.548158e-06 1.742463e-06 4.452557e-06 7.878593e-07 1.055558e-04 3.366002e-05 2.694882e-05
-8.000000e-01 6.255368e-05 5.873108e-06 -4.000000e-01 1.012337e-05 1.537728e-06 9.070340e-06 5.260797e-07 1.306900e-04 5.827193e-05 5.445967e-05
-7.000000e-01 6.941121e-05 6.826283e-06 -2.000000e-01 1.050008e-05 1.712049e-06 2.313284e-05 6.654771e-07 1.420877e-04 8.617571e-05 5.605302e-05
-6.000000e-01 7.826154e-05 7.685788e-06 0.000000e+00 5.977900e-06 2.548236e-06 4.670068e-05 5.700004e-07 5.996699e-05 8.758746e-05 5.771142e-05
-5.000000e-01 8.224682e-05 9.436731e-06 2.000000e-01 1.134661e-06 1.233677e-08 1.466858e-06 2.215852e-06 1.720665e-06 1.411970e-05 1.695209e-06
-4.000000e-01 8.592961e-05 1.107539e-05 4.000000e-01 3.658491e-06 1.856469e-06 2.662230e-06 2.358078e-06 3.885453e-07 3.397891e-06 4.656967e-07
-3.000000e-01 7.474196e-05 1.343062e-05 NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 5.610736e-05 1.687434e-05 NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 3.711233e-05 2.143248e-05 NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 7.487393e-06 2.340805e-05 NaN NaN NaN NaN NaN NaN NaN NaN
1.000000e-01 1.354786e-06 1.851466e-05 NaN NaN NaN NaN NaN NaN NaN NaN
2.000000e-01 4.569654e-06 9.652949e-06 NaN NaN NaN NaN NaN NaN NaN NaN
3.000000e-01 3.913255e-06 4.227905e-06 NaN NaN NaN NaN NaN NaN NaN NaN
