X Y Yfit
2.915E-1 2.082E-8 2.884E-1 2.082E-8
3.012E-1 2.603E-8 3.019E-1 2.603E-8
3.113E-1 3.123E-8 3.124E-1 3.123E-8
3.221E-1 3.644E-8 3.210E-1 3.644E-8
3.321E-1 4.685E-8 3.347E-1 4.685E-8
3.418E-1 5.726E-8 3.453E-1 5.726E-8
3.516E-1 6.247E-8 3.499E-1 6.247E-8
3.617E-1 7.808E-8 3.613E-1 7.808E-8
3.725E-1 9.890E-8 3.733E-1 9.890E-8
3.823E-1 1.197E-7 3.828E-1 1.197E-7
3.924E-1 1.458E-7 3.925E-1 1.458E-7
4.023E-1 1.770E-7 4.020E-1 1.770E-7
4.120E-1 2.238E-7 4.134E-1 2.238E-7
4.218E-1 2.707E-7 4.226E-1 2.707E-7
4.329E-1 3.488E-7 4.349E-1 3.488E-7
4.427E-1 4.216E-7 4.440E-1 4.216E-7
4.525E-1 5.205E-7 4.542E-1 5.205E-7
4.624E-1 6.351E-7 4.639E-1 6.351E-7
4.723E-1 7.756E-7 4.736E-1 7.756E-7
4.835E-1 9.630E-7 4.843E-1 9.630E-7
4.934E-1 1.171E-6 4.940E-1 1.171E-6
5.030E-1 1.411E-6 5.033E-1 1.411E-6
5.127E-1 1.692E-6 5.125E-1 1.692E-6
5.227E-1 2.035E-6 5.221E-1 2.035E-6
5.338E-1 2.488E-6 5.327E-1 2.488E-6
5.436E-1 2.951E-6 5.419E-1 2.951E-6
5.535E-1 3.508E-6 5.514E-1 3.508E-6
5.633E-1 4.138E-6 5.608E-1 4.138E-6
5.731E-1 4.857E-6 5.702E-1 4.857E-6
5.842E-1 5.788E-6 5.809E-1 5.788E-6
5.939E-1 6.725E-6 5.905E-1 6.725E-6
6.038E-1 7.751E-6 5.999E-1 7.751E-6
6.136E-1 8.917E-6 6.096E-1 8.917E-6
6.236E-1 1.021E-5 6.195E-1 1.021E-5
6.334E-1 1.163E-5 6.295E-1 1.163E-5
6.444E-1 1.338E-5 6.408E-1 1.338E-5
6.541E-1 1.503E-5 6.508E-1 1.503E-5
6.641E-1 1.682E-5 6.609E-1 1.682E-5
6.738E-1 1.874E-5 6.713E-1 1.874E-5
6.835E-1 2.074E-5 6.815E-1 2.074E-5
6.948E-1 2.314E-5 6.932E-1 2.314E-5
7.047E-1 2.541E-5 7.039E-1 2.541E-5
7.143E-1 2.773E-5 7.143E-1 2.773E-5
7.241E-1 3.012E-5 7.248E-1 3.012E-5
7.340E-1 3.257E-5 7.352E-1 3.257E-5
7.450E-1 3.549E-5 7.473E-1 3.549E-5
7.548E-1 3.805E-5 7.576E-1 3.805E-5
7.646E-1 4.069E-5 7.680E-1 4.069E-5
7.747E-1 4.338E-5 7.785E-1 4.338E-5
7.844E-1 4.609E-5 7.888E-1 4.609E-5
7.956E-1 4.911E-5 8.001E-1 4.911E-5
8.054E-1 5.180E-5 8.101E-1 5.180E-5
8.152E-1 5.455E-5 8.201E-1 5.455E-5
8.248E-1 5.731E-5 8.300E-1 5.731E-5
8.347E-1 6.005E-5 8.398E-1 6.005E-5
8.444E-1 6.278E-5 8.494E-1 6.278E-5
8.557E-1 6.593E-5 8.604E-1 6.593E-5
8.657E-1 6.869E-5 8.700E-1 6.869E-5
8.753E-1 7.143E-5 8.794E-1 7.143E-5
8.853E-1 7.413E-5 8.886E-1 7.413E-5
8.950E-1 7.687E-5 8.979E-1 7.687E-5
9.061E-1 7.997E-5 9.083E-1 7.997E-5
9.160E-1 8.267E-5 9.174E-1 8.267E-5
9.258E-1 8.538E-5 9.264E-1 8.538E-5
9.357E-1 8.807E-5 9.353E-1 8.807E-5
9.453E-1 9.079E-5 9.443E-1 9.079E-5
9.566E-1 9.379E-5 9.541E-1 9.379E-5
9.664E-1 9.646E-5 9.628E-1 9.646E-5
9.763E-1 9.904E-5 9.712E-1 9.904E-5
9.859E-1 1.017E-4 9.798E-1 1.017E-4
9.956E-1 1.043E-4 9.882E-1 1.043E-4
1.006E+0 1.070E-4 9.969E-1 1.070E-4
