N x
1.5730543E+0 1.2872109E+21
1.5610230E+0 1.3065884E+21
1.5492593E+0 1.3035781E+21
1.5369860E+0 1.3053571E+21
1.5250701E+0 1.3466327E+21
1.5133538E+0 1.3434800E+21
1.5011941E+0 1.3221598E+21
1.4888988E+0 1.3297615E+21
1.4766797E+0 1.3315505E+21
1.4642121E+0 1.3317514E+21
1.4517891E+0 1.3450014E+21
1.4393552E+0 1.3396071E+21
1.4266140E+0 1.3251446E+21
1.4136791E+0 1.3224177E+21
1.4006503E+0 1.3291561E+21
1.3876075E+0 1.3211404E+21
1.3741704E+0 1.3153624E+21
1.3607552E+0 1.3311231E+21
1.3473746E+0 1.3176924E+21
1.3334112E+0 1.3112944E+21
1.3196172E+0 1.3172156E+21
1.3054844E+0 1.3042449E+21
1.2911084E+0 1.3047190E+21
1.2766706E+0 1.2918680E+21
1.2616731E+0 1.2863527E+21
1.2467653E+0 1.2991928E+21
1.2317064E+0 1.2860217E+21
1.2161169E+0 1.2674667E+21
1.2002134E+0 1.2752922E+21
1.1844077E+0 1.2780703E+21
1.1681434E+0 1.2543120E+21
1.1512731E+0 1.2457812E+21
1.1343003E+0 1.2513469E+21
1.1170742E+0 1.2380713E+21
1.0991953E+0 1.2339138E+21
1.0812879E+0 1.1997486E+21
1.0617527E+0 1.1767765E+21
1.0424455E+0 1.1879142E+21
1.0225464E+0 1.1734218E+21
1.0019809E+0 1.1652262E+21
9.8096511E-1 1.1646994E+21
