d Bo nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 1.500000000E+01 1.025234975E+00 1.187885988E+00 -1.626510130E-01 1.025316171E+00 1.187748191E+00 -1.624320200E-01 -8.119600000E-05 1.377970000E-04
150 1.549996187E+01 1.218762243E+00 1.212898310E+00 5.863933000E-03 1.218554923E+00 1.212556736E+00 5.998187000E-03 2.073200000E-04 3.415740000E-04
150 1.600000000E+01 1.258586067E+00 1.228006348E+00 3.057971900E-02 1.257836945E+00 1.227350281E+00 3.048666400E-02 7.491220000E-04 6.560670000E-04
150 1.649996187E+01 1.287331057E+00 1.233980769E+00 5.335028800E-02 1.284687952E+00 1.233005910E+00 5.168204200E-02 2.643105000E-03 9.748590000E-04
150 1.700000000E+01 1.325595354E+00 1.257190226E+00 6.840512800E-02 1.316204785E+00 1.255521304E+00 6.068348100E-02 9.390569000E-03 1.668922000E-03
180 1.500000000E+01 1.015338652E+00 1.183593520E+00 -1.682548680E-01 1.015283380E+00 1.183475733E+00 -1.681923530E-01 5.527200000E-05 1.177870000E-04
180 1.549996187E+01 1.213759090E+00 1.210173981E+00 3.585109000E-03 1.213574170E+00 1.209876831E+00 3.697339000E-03 1.849200000E-04 2.971500000E-04
180 1.600000000E+01 1.255774705E+00 1.225255432E+00 3.051927300E-02 1.255110819E+00 1.224705302E+00 3.040551700E-02 6.638860000E-04 5.501300000E-04
180 1.649996187E+01 1.285152304E+00 1.231732105E+00 5.342019900E-02 1.282805783E+00 1.230807877E+00 5.199790600E-02 2.346521000E-03 9.242280000E-04
180 1.700000000E+01 1.322844093E+00 1.256624749E+00 6.621934400E-02 1.314211563E+00 1.255052112E+00 5.915945100E-02 8.632530000E-03 1.572637000E-03
210 1.500000000E+01 1.013957649E+00 1.179683190E+00 -1.657255410E-01 1.013913218E+00 1.179578388E+00 -1.656651700E-01 4.443100000E-05 1.048020000E-04
210 1.549996187E+01 1.211479902E+00 1.207996076E+00 3.483826000E-03 1.211309303E+00 1.207727238E+00 3.582065000E-03 1.705990000E-04 2.688380000E-04
210 1.600000000E+01 1.253402401E+00 1.223418323E+00 2.998407800E-02 1.252794200E+00 1.222895270E+00 2.989893000E-02 6.082010000E-04 5.230530000E-04
210 1.649996187E+01 1.283390841E+00 1.230648426E+00 5.274241500E-02 1.281235065E+00 1.229755391E+00 5.147967400E-02 2.155776000E-03 8.930350000E-04
210 1.700000000E+01 1.319488089E+00 1.256052318E+00 6.343577100E-02 1.311330567E+00 1.254503002E+00 5.682756500E-02 8.157522000E-03 1.549316000E-03
240 1.500000000E+01 1.012854780E+00 1.176063530E+00 -1.632087500E-01 1.012817839E+00 1.175967658E+00 -1.631498190E-01 3.694100000E-05 9.587200000E-05
240 1.549996187E+01 1.209183619E+00 1.205874756E+00 3.308863000E-03 1.209023161E+00 1.205625432E+00 3.397729000E-03 1.604580000E-04 2.493240000E-04
240 1.600000000E+01 1.251402053E+00 1.221767741E+00 2.963431200E-02 1.250831608E+00 1.221246562E+00 2.958504600E-02 5.704450000E-04 5.211790000E-04
240 1.649996187E+01 1.282035644E+00 1.229865553E+00 5.217009100E-02 1.280011862E+00 1.228994812E+00 5.101705000E-02 2.023782000E-03 8.707410000E-04
240 1.700000000E+01 1.318647706E+00 1.255933329E+00 6.271437700E-02 1.310823258E+00 1.253709354E+00 5.711390400E-02 7.824448000E-03 2.223975000E-03
